Especie
Tinamus major
Tinamus guttatus
Crypturellus soui
Crypturellus duidae
Crypturellus variegatus
Cairina moschata
Nomonyx dominicus
Penelope jacquacu
Ortalis guttata
Nothocrax urumutum
Mitu tomentosum
Odontophorus gujanensis
Patagioenas speciosa
Patagioenas plumbea
Patagioenas subvinacea
Geotrygon montana
Leptotila rufaxilla
Claravis pretiosa
Columbina minuta
Crotophaga major
Crotophaga ani
Coccycua minuta
Piaya cayana
Piaya melanogaster
Coccyzus melacoryphus
Nyctibius grandis
Nyctibius griseus
Phyllaemulor bracteatus
Chordeiles nacunda
Nyctiprogne leucopyga
Streptoprocne zonaris
Chaetura brachyura
Panyptila cayennensis
Topaza pyra
Florisuga mellivora
Phaethornis ruber
Heliothryx auritus
Anthracothorax nigricollis
Heliodoxa aurescens
Campylopterus largipennis
Thalurania furcata
Chrysuronia oenone
Psophia crepitans
Aramides cajaneus
Heliornis fulica
Vanellus cayanus
Vanellus chilensis
Actitis macularius
Tringa solitaria
Jacana jacana
Rynchops niger
Phaetusa simplex
Eurypyga helias
Mycteria americana
Anhinga anhinga
Tigrisoma lineatum
Zebrilus undulatus
Nycticorax nycticorax
Butorides striata
Bubulcus ibis
Ardea cocoi
Ardea alba
Syrigma sibilatrix
Pilherodius pileatus
Egretta thula
Egretta caerulea
Eudocimus albus
Mesembrinibis cayennensis
Phimosus infuscatus
Sarcoramphus papa
Cathartes melambrotus
Pandion haliaetus
Leptodon cayanensis
Elanoides forficatus
Spizaetus melanoleucus
Ictinia plumbea
Buteogallus urubitinga
Rupornis magnirostris
Pseudastur albicollis
Buteo nitidus
Megascops choliba
Megascops watsonii
Pulsatrix perspicillata
Athene cunicularia
Pharomachrus pavoninus
Trogon melanurus
Trogon viridis
Trogon ramonianus
Trogon curucui
Trogon rufus
Trogon collaris
Momotus momota
Megaceryle torquata
Chloroceryle amazona
Chloroceryle aenea
Chloroceryle americana
Chloroceryle inda
Galbula albirostris
Galbula leucogastra
Galbula dea
Jacamerops aureus
Notharchus hyperrhynchus
Notharchus ordii
Notharchus tectus
Bucco macrodactylus
Bucco tamatia
Bucco capensis
Malacoptila fusca
Nonnula rubecula
Monasa morphoeus
Chelidoptera tenebrosa
Capito auratus
Eubucco richardsoni
Ramphastos tucanus
Ramphastos vitellinus
Selenidera nattereri
Pteroglossus inscriptus
Pteroglossus castanotis
Pteroglossus pluricinctus
Pteroglossus azara
Picumnus pumilus
Melanerpes cruentatus
Dryobates affinis
Campephilus rubricollis
Campephilus melanoleucos
Celeus grammicus
Celeus elegans
Piculus flavigula
Herpetotheres cachinnans
Micrastur semitorquatus
Ibycter americanus
Daptrius ater
Falco rufigularis
Brotogeris cyanoptera
Pyrilia barrabandi
Pionus menstruus
Amazona farinosa
Amazona kawalli
Forpus modestus
Pionites melanocephalus
Deroptyus accipitrinus
Pyrrhura melanura
Orthopsittaca manilatus
Ara macao
Cymbilaimus lineatus
Thamnophilus schistaceus
Thamnophilus murinus
Thamnophilus nigrocinereus
Thamnophilus aethiops
Thamnophilus amazonicus
Megastictus margaritatus
Neoctantes niger
Thamnomanes ardesiacus
Thamnomanes caesius
Myrmotherula brachyura
Myrmotherula ambigua
Myrmotherula multostriata
Myrmotherula cherriei
Myrmotherula axillaris
Dichrozona cincta
Hypocnemis flavescens
Hypocnemis hypoxantha
Myrmoborus myotherinus
Hypocnemoides melanopogon
Pithys albifrons
Gymnopithys leucaspis
Rhegmatorhina cristata
Hylophylax naevius
Hylophylax naevius
Willisornis poecilinotus
Phlegopsis erythroptera
Myrmothera campanisona
Formicarius colma
Formicarius colma
Sittasomus griseicapillus
Dendrocincla merula
Dendrocincla fuliginosa
Glyphorynchus spirurus
Dendrocolaptes certhia
Hylexetastes stresemanni
Xiphorhynchus ocellatus
Xiphorhynchus guttatus
Campylorhamphus procurvoides
Xenops tenuirostris
Xenops minutus
Berlepschia rikeri
Synallaxis rutilans
Tyranneutes stolzmanni
Lepidothrix coronata
Heterocercus flavivertex
Manacus manacus
Machaeropterus striolatus
Pseudopipra pipra
Ceratopipra erythrocephala
Rupicola rupicola
Cephalopterus ornatus
Cotinga cayana
Lipaugus vociferans
Xipholena punicea
Tityra cayana
Iodopleura isabellae
Neopipo cinnamomea
Platyrinchus platyrhynchos
Corythopis torquatus
Myiornis ecaudatus
Lophotriccus vitiosus
Todirostrum chrysocrotaphum
Attila cinnamomeus
Attila citriniventris
Tyrannus melancholicus
Tyrannus savana
Tyrannus tyrannus
Ochthornis littoralis
Cyanocorax heilprini
Pygochelidon melanoleuca
Tachycineta albiventer
Pheugopedius coraya
Turdus lawrencii
Euphonia plumbea
Euphonia minuta
Euphonia xanthogaster
Euphonia rufiventris
Dolichonyx oryzivorus
Leistes militaris
Psarocolius viridis
Psarocolius bifasciatus
Cacicus cela
Cacicus haemorrhous
Icterus cayanensis
Molothrus oryzivorus
Setophaga ruticilla
Piranga rubra
Caryothraustes canadensis
Chlorophanes spiza
Hemithraupis flavicollis
Tachyphonus phoenicius
Ramphocelus carbo
Cyanerpes nitidus
Cyanerpes caeruleus
Cyanerpes cyaneus
Tersina viridis
Dacnis albiventris
Dacnis lineata
Dacnis flaviventer
Dacnis cayana
Sporophila bouvronides
Sporophila castaneiventris
Sporophila angolensis
Saltator maximus
Saltator grossus
Coereba flaveola
Cissopis leverianus
Stilpnia nigrocincta
Tangara mexicana
Tangara chilensis
Tangara velia
Tangara callophrys
Thraupis episcopus
Thraupis palmarum
Ixothraupis xanthogastra
