STATE CODE	LOCALITY ID	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	DURATION MINUTES	EFFORT DISTANCE KM	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER
CO-VAU	L1451759	1.2221020	-70.1615238	2014-10-22		obsr915176	S36558781	Historical			8	1	G1887323
CO-VAU	L1451759	1.2221020	-70.1615238	2014-08-19	05:30:00	obsr162605	S31204380	Traveling	615	4.828	5	1	G1893747
CO-VAU	L1451781	1.2218274	-70.2285361	2014-08-20	05:45:00	obsr162605	S31204382	Traveling	720	2.414	5	1	G1893749
CO-VAU	L1451781	1.2218274	-70.2285361	2014-08-14	14:45:00	obsr162605	S31204358	Traveling	180	0.805	5	1	G1893738
CO-VAU	L1451781	1.2218274	-70.2285361	2014-10-21		obsr162605	S31130479	Historical			9	1	G1887325
CO-VAU	L1451781	1.2218274	-70.2285361	2014-08-21	05:30:00	obsr915176	S36558777	Traveling	240	1.609	5	1	G1893750
CO-VAU	L1451781	1.2218274	-70.2285361	2014-08-21	05:30:00	obsr162605	S31204384	Traveling	240	1.609	5	1	G1893750
CO-VAU	L1451781	1.2218274	-70.2285361	2014-10-04	06:00:00	obsr1334452	S67979480	Historical				1	
CO-VAU	L1451781	1.2218274	-70.2285361	2014-11-23	14:00:00	obsr738493	S37934923	Historical	300		12	1	
CO-VAU	L1451781	1.2218274	-70.2285361	2014-11-27	06:00:00	obsr215180	S20919628	Traveling	240	5.000	10	1	
CO-VAU	L1451759	1.2221020	-70.1615238	2014-08-19	05:30:00	obsr107352	S40901833	Traveling	615	4.828	5	1	G1893747
CO-VAU	L1451781	1.2218274	-70.2285361	2014-08-14	14:45:00	obsr915176	S36558756	Traveling	180	0.805	5	1	G1893738
CO-VAU	L1451781	1.2218274	-70.2285361	2014-08-20	05:45:00	obsr101311	S20204798	Traveling	660	2.414	5	1	G2769495
CO-VAU	L1451781	1.2218274	-70.2285361	2014-08-20	05:45:00	obsr107352	S40901827	Traveling	720	2.414	5	1	G1893749
CO-VAU	L1451781	1.2218274	-70.2285361	2014-08-20	05:45:00	obsr915176	S36558773	Traveling	720	2.414	5	1	G1893749
CO-VAU	L1451781	1.2218274	-70.2285361	2014-10-16		obsr162605	S31130491	Historical			7	1	G1887331
CO-VAU	L1451781	1.2218274	-70.2285361	2014-10-21		obsr915176	S36558783	Historical			9	1	G1887325
CO-VAU	L1451781	1.2218274	-70.2285361	2014-11-04	06:30:00	obsr971049	S98290252	Traveling	540	9.656	3	1	G7515898
CO-VAU	L1451781	1.2218274	-70.2285361	2014-11-04	06:30:00	obsr1461705	S98738091	Traveling	540	9.656	3	1	G7515898
CO-VAU	L1451759	1.2221020	-70.1615238	2014-11-20	06:18:00	obsr162387	S21358434	Incidental			1	1	
CO-VAU	L1451759	1.2221020	-70.1615238	2014-07-18	06:00:00	obsr693372	S27525937	Traveling	720	15.000	4	1	
CO-VAU	L1451759	1.2221020	-70.1615238	2014-02-04	06:00:00	obsr142759	S17515050	Traveling	610	6.437	12	1	
CO-VAU	L1451781	1.2218274	-70.2285361	2014-01-18	06:00:00	obsr431114	S60410696	Traveling	510	12.875	1	1	
CO-VAU	L1451781	1.2218274	-70.2285361	2014-01-16	18:00:00	obsr431114	S60405337	Traveling	600	12.875	1	1	
CO-VAU	L1451781	1.2218274	-70.2285361	2014-01-19	05:15:00	obsr431114	S60411221	Traveling	540	16.093	1	1	
CO-VAU	L1451781	1.2218274	-70.2285361	2014-01-23	05:15:00	obsr431114	S60412350	Traveling	540	11.265	1	1	
CO-VAU	L1451781	1.2218274	-70.2285361	2014-10-04	05:15:00	obsr1704441	S69045185	Traveling	740	6.500	5	1	
CO-VAU	L1451781	1.2218274	-70.2285361	2014-08-21	05:30:00	obsr101311	S20244694	Traveling	240	1.609	5	1	G1893750
CO-VAU	L1451781	1.2218274	-70.2285361	2014-01-25	05:30:00	obsr431114	S60412607	Traveling	420	11.265	1	1	
CO-VAU	L1451781	1.2218274	-70.2285361	2014-10-16		obsr532139	S30798126	Historical			7	1	G1887331
CO-VAU	L1451781	1.2218274	-70.2285361	2014-08-20	05:45:00	obsr101311	S20244633	Traveling	720	2.414	5	1	G1893749
CO-VAU	L1451781	1.2218274	-70.2285361	2014-10-21		obsr532139	S30798127	Historical			9	1	G1887325
CO-VAU	L1451759	1.2221020	-70.1615238	2014-11-06	07:00:00	obsr971049	S98376779	Traveling	540	8.047	3	1	G7515888
CO-VAU	L1451759	1.2221020	-70.1615238	2014-11-06	07:00:00	obsr1461705	S98738081	Traveling	540	8.047	3	1	G7515888
CO-VAU	L1451759	1.2221020	-70.1615238	2014-07-21	06:00:00	obsr693372	S27540106	Traveling	690	5.000	4	1	
CO-VAU	L1451759	1.2221020	-70.1615238	2014-11-25	07:00:00	obsr738493	S37937119	Traveling	600	9.656	12	1	
CO-VAU	L1451759	1.2221020	-70.1615238	2014-05-02	06:00:00	obsr693372	S27669842	Traveling	720	10.000	8	1	
CO-VAU	L1451759	1.2221020	-70.1615238	2014-04-29	06:00:00	obsr693372	S27667150	Traveling	720	15.000	8	1	
CO-VAU	L1451759	1.2221020	-70.1615238	2014-03-20		obsr162387	S18250361	Incidental			1	1	
CO-VAU	L1451759	1.2221020	-70.1615238	2014-11-25	07:05:00	obsr215180	S20864707	Traveling	500	7.001	10	1	
CO-VAU	L1451759	1.2221020	-70.1615238	2014-08-19	05:30:00	obsr101311	S20204622	Traveling	615	4.828	5	1	G1893747
CO-VAU	L1451781	1.2218274	-70.2285361	2014-08-21	05:30:00	obsr107352	S40901825	Traveling	240	1.609	5	1	G1893750
CO-VAU	L1451781	1.2218274	-70.2285361	2014-11-27	07:00:00	obsr738493	S37942130	Traveling	240	4.828	12	1	
CO-VAU	L1451781	1.2218274	-70.2285361	2014-08-20	05:45:00	obsr107352	S40901830	Traveling	660	2.414	5	1	G2769495
CO-VAU	L1451781	1.2218274	-70.2285361	2014-10-16		obsr915176	S36558758	Historical			7	1	G1887331
CO-VAU	L1451781	1.2218274	-70.2285361	2014-01-20	05:15:00	obsr431114	S60411516	Traveling	480	12.875	1	1	
CO-VAU	L1451781	1.2218274	-70.2285361	2014-08-02	07:00:00	obsr162605	S160465665	Historical	600	5.000	5	1	
CO-VAU	L17014079	1.3008590	-70.1632550	2014-11-10	07:00:00	obsr1461705	S98738053	Traveling	480	9.656	3	1	G7515868
CO-VAU	L17014079	1.3008590	-70.1632550	2014-11-10	07:00:00	obsr971049	S98331685	Traveling	480	9.656	3	1	G7515868
CO-VAU	L2565660	1.2705093	-70.2171052	2014-02-03	15:00:00	obsr142759	S17496773	Traveling	220	8.047	12	1	
CO-VAU	L2566078	1.1794930	-70.1696280	2014-02-05	06:40:00	obsr142759	S17515529	Traveling	570	7.644	12	1	
CO-VAU	L2831310	1.2516552	-70.2309608	2014-03-27		obsr162387	S18249883	Incidental			1	1	
CO-VAU	L3104891	1.2286580	-70.2362072	2014-08-14	14:45:00	obsr101311	S20006639	Traveling	180	0.805	5	1	G1893738
CO-VAU	L3104891	1.2286580	-70.2362072	2014-08-14	14:45:00	obsr107352	S40901840	Traveling	180	0.805	5	1	G1893738
CO-VAU	L3105634	1.1323335	-70.1170421	2014-08-16	06:00:00	obsr162605	S31204374	Traveling	720	4.828	5	1	G1893742
CO-VAU	L3105634	1.1323335	-70.1170421	2014-08-16	06:00:00	obsr107352	S40901839	Traveling	720	4.828	5	1	G1893742
CO-VAU	L3105634	1.1323335	-70.1170421	2014-08-16	06:00:00	obsr101311	S20013729	Traveling	720	4.828	5	1	G1893742
CO-VAU	L3105634	1.1323335	-70.1170421	2014-08-16	06:00:00	obsr915176	S36558761	Traveling	720	4.828	5	1	G1893742
CO-VAU	L3116400	1.1223300	-70.0937700	2014-08-17	05:45:00	obsr915176	S36558762	Traveling	720	4.023	5	1	G1893744
CO-VAU	L3116400	1.1223300	-70.0937700	2014-08-17	05:45:00	obsr101311	S20193976	Traveling	720	4.023	5	1	G1893744
CO-VAU	L3116400	1.1223300	-70.0937700	2014-08-17	05:45:00	obsr107352	S40901836	Traveling	720	4.023	5	1	G1893744
CO-VAU	L3116400	1.1223300	-70.0937700	2014-08-17	05:45:00	obsr162605	S31204376	Traveling	720	4.023	5	1	G1893744
CO-VAU	L3118263	1.2415725	-70.2364218	2014-08-19	16:30:00	obsr162605	S31204381	Traveling	60	0.805	5	1	G1893748
CO-VAU	L3118263	1.2415725	-70.2364218	2014-08-19	16:30:00	obsr101311	S20204701	Traveling	60	0.805	5	1	G1893748
CO-VAU	L3118263	1.2415725	-70.2364218	2014-08-19	16:30:00	obsr107352	S40901832	Traveling	60	0.805	5	1	G1893748
CO-VAU	L3118263	1.2415725	-70.2364218	2014-08-19	16:30:00	obsr915176	S36558772	Traveling	60	0.805	5	1	G1893748
CO-VAU	L3455328	1.2789939	-70.2263582	2014-04-16	05:45:00	obsr1704441	S71504662	Traveling	370	17.000	5	1	
CO-VAU	L3455328	1.2789939	-70.2263582	2014-10-05	07:00:00	obsr1334452	S67978924	Historical				1	
CO-VAU	L3571110	1.1380562	-70.1134560	2014-04-15	05:50:00	obsr1704441	S71504175	Traveling	645	9.000	5	1	
CO-VAU	L3571110	1.1380562	-70.1134560	2014-11-07	06:30:00	obsr1461705	S98738076	Traveling	540	4.828	3	1	G7515883
CO-VAU	L3571110	1.1380562	-70.1134560	2014-11-07	06:30:00	obsr971049	S98293788	Traveling	540	4.828	3	1	G7515883
CO-VAU	L3571110	1.1380562	-70.1134560	2014-11-09	06:30:00	obsr971049	S98330693	Traveling	540	8.047	3	1	G7515873
CO-VAU	L3571110	1.1380562	-70.1134560	2014-07-20	06:00:00	obsr693372	S27537633	Traveling	720	5.000	5	1	
CO-VAU	L3571110	1.1380562	-70.1134560	2014-10-20		obsr162605	S31130482	Historical			9	1	G1887327
CO-VAU	L3571110	1.1380562	-70.1134560	2014-05-01	06:00:00	obsr693372	S27667779	Traveling	720	7.000	8	1	
CO-VAU	L3571110	1.1380562	-70.1134560	2014-11-19	05:46:00	obsr162387	S21358435	Incidental			1	1	
CO-VAU	L3571110	1.1380562	-70.1134560	2014-10-20		obsr532139	S30803210	Historical			9	1	G1887327
CO-VAU	L3571110	1.1380562	-70.1134560	2014-10-20		obsr915176	S36558787	Historical			9	1	G1887327
CO-VAU	L3571110	1.1380562	-70.1134560	2014-11-09	06:30:00	obsr1461705	S98738060	Traveling	540	8.047	3	1	G7515873
CO-VAU	L4261407	1.2718606	-70.2112441	2014-07-16	15:00:00	obsr693372	S27524964	Traveling	180	5.000	4	1	
CO-VAU	L4261407	1.2718606	-70.2112441	2014-04-28	07:00:00	obsr693372	S27666778	Traveling	600	7.000	7	1	
CO-VAU	L4803775	1.2529423	-70.2342653	2014-10-16		obsr915176	S36558794	Historical			7	1	G1887333
CO-VAU	L4803775	1.2529423	-70.2342653	2014-10-23		obsr915176	S36558778	Historical			8	1	G1887322
CO-VAU	L4803775	1.2529423	-70.2342653	2014-10-16		obsr162605	S31130494	Historical			7	1	G1887333
CO-VAU	L4803775	1.2529423	-70.2342653	2014-10-21		obsr162605	S31130477	Incidental			1	0	G1887324
CO-VAU	L4803775	1.2529423	-70.2342653	2014-10-23		obsr162605	S31130473	Historical			8	1	G1887322
CO-VAU	L4803775	1.2529423	-70.2342653	2014-10-21		obsr915176	S36558786	Incidental			1	0	G1887324
CO-VAU	L4817239	1.2708337	-70.2155730	2014-06-25	07:00:00	obsr1095083	S126318395	Historical				0	
CO-VAU	L8102278	-0.5645831	-69.6337761	2014-07-10	18:23:00	obsr296646	S49654907	Traveling	120	6.437	1	1	
CO-VAU	L10269990	1.2361560	-70.2362960	2015-11-11		obsr524548	S62190190	Incidental				0	
CO-VAU	L10269991	1.2230020	-70.1591840	2015-11-12		obsr524548	S62190131	Incidental				0	
CO-VAU	L10269993	1.2442120	-70.2317550	2015-11-15		obsr524548	S62190096	Incidental				0	
CO-VAU	L10269989	1.2570560	-70.2322820	2015-11-11		obsr524548	S62181351	Incidental				0	
CO-VAU	L10269989	1.2570560	-70.2322820	2015-12-02		obsr524548	S62181179	Incidental				0	
CO-VAU	L10269989	1.2570560	-70.2322820	2015-11-10		obsr524548	S62190214	Incidental				0	
CO-VAU	L10269993	1.2442120	-70.2317550	2015-11-14		obsr524548	S62190273	Incidental				0	
CO-VAU	L10269992	1.1223060	-70.0940620	2015-11-13		obsr524548	S62190215	Incidental				0	
CO-VAU	L10605957	1.2680000	-70.2210000	2015-11-05		obsr985048	S65206502	Historical				0	
CO-VAU	L10605957	1.2680000	-70.2210000	2015-11-12		obsr985048	S65206507	Historical				0	
CO-VAU	L10605957	1.2680000	-70.2210000	2015-11-08		obsr985048	S65206503	Historical				0	
CO-VAU	L10605957	1.2680000	-70.2210000	2015-11-14		obsr985048	S65206509	Historical				0	
CO-VAU	L10605957	1.2680000	-70.2210000	2015-11-13		obsr985048	S65206508	Historical				0	
CO-VAU	L10605957	1.2680000	-70.2210000	2015-11-11		obsr985048	S65206506	Historical				0	
CO-VAU	L10605957	1.2680000	-70.2210000	2015-11-09		obsr985048	S65206504	Historical				0	
CO-VAU	L10605957	1.2680000	-70.2210000	2015-11-10		obsr985048	S65206505	Historical				0	
CO-VAU	L11222512	1.2595480	-70.2355450	2015-12-13	03:00:00	obsr817735	S127658070	Traveling	30	3.000	1	1	
CO-VAU	L11222512	1.2595480	-70.2355450	2015-12-13	06:00:00	obsr817735	S127657071	Traveling	20	1.000	1	1	
CO-VAU	L11222512	1.2595480	-70.2355450	2015-12-12	09:30:00	obsr817735	S127656840	Traveling	60	2.000	1	1	
CO-VAU	L1193326	1.2228872	-70.2310359	2015-01-15	06:00:00	obsr232095	S21677183	Traveling	300	8.000	4	1	G1141704
CO-VAU	L1193327	1.2677789	-70.1946759	2015-01-20	15:10:00	obsr142759	S23160675	Traveling	165	14.484	9	1	
CO-VAU	L1193327	1.2677789	-70.1946759	2015-11-09	05:30:00	obsr541322	S67963209	Traveling	480	5.000	7	1	
CO-VAU	L1193327	1.2677789	-70.1946759	2015-01-11	15:30:00	obsr232095	S21670374	Traveling	120	2.000	4	1	G1141696
CO-VAU	L1193326	1.2228872	-70.2310359	2015-11-05		obsr351810	S61087078	Historical				1	
CO-VAU	L1193327	1.2677789	-70.1946759	2015-10-25	15:51:00	obsr347082	S25770164	Traveling	99	3.219	9	1	
CO-VAU	L1193327	1.2677789	-70.1946759	2015-04-15	14:30:00	obsr119620	S25164104	Traveling	180	1.609	5	1	G2556034
CO-VAU	L1193327	1.2677789	-70.1946759	2015-04-19	15:05:00	obsr507040	S23030786	Traveling	182	1.000	4	1	
CO-VAU	L1193327	1.2677789	-70.1946759	2015-02-26	14:17:00	obsr307381	S22170993	Traveling	208	4.000	3	1	G1166468
CO-VAU	L1193327	1.2677789	-70.1946759	2015-01-21	15:30:00	obsr142759	S23161336	Traveling	110	2.414	9	1	
CO-VAU	L1193327	1.2677789	-70.1946759	2015-03-01	05:57:00	obsr121486	S22166521	Traveling	689	14.000	4	1	G1166473
CO-VAU	L1193327	1.2677789	-70.1946759	2015-11-08	14:10:00	obsr1704441	S69369096	Traveling	190	9.000	6	1	
CO-VAU	L1193327	1.2677789	-70.1946759	2015-01-21	16:30:00	obsr110092	S34000869	Traveling	60	1.207	10	1	
CO-VAU	L1193327	1.2677789	-70.1946759	2015-01-12	06:00:00	obsr406578	S21779866	Traveling	600	16.000	4	1	G1141699
CO-VAU	L1193327	1.2677789	-70.1946759	2015-03-24	14:00:00	obsr92695	S22891126	Traveling	240	3.000	5	1	
CO-VAU	L1193326	1.2228872	-70.2310359	2015-01-15	06:00:00	obsr406578	S21779864	Traveling	300	8.000	4	1	G1141704
CO-VAU	L1193327	1.2677789	-70.1946759	2015-01-11	15:00:00	obsr203202	S21730634	Traveling	180	8.047	4	1	
CO-VAU	L1193327	1.2677789	-70.1946759	2015-11-20	14:30:00	obsr1704441	S71030046	Traveling	190	5.000	4	1	
CO-VAU	L1193327	1.2677789	-70.1946759	2015-11-08		obsr92695	S36711636	Historical			4	0	
CO-VAU	L1193327	1.2677789	-70.1946759	2015-01-11	15:30:00	obsr203202	S21752232	Traveling	120	2.000	4	1	G1141696
CO-VAU	L1193327	1.2677789	-70.1946759	2015-01-12	06:00:00	obsr203202	S21752235	Traveling	600	16.000	4	1	G1141699
CO-VAU	L1193327	1.2677789	-70.1946759	2015-04-15	14:30:00	obsr245077	S38334618	Traveling	180	1.609	5	1	G2556034
CO-VAU	L1193327	1.2677789	-70.1946759	2015-02-26	14:17:00	obsr232412	S22171610	Traveling	208	4.000	3	1	G1166468
CO-VAU	L1193327	1.2677789	-70.1946759	2015-02-26	14:17:00	obsr121486	S22166532	Traveling	208	4.000	3	1	G1166468
CO-VAU	L1193327	1.2677789	-70.1946759	2015-07-09	06:00:00	obsr433512	S45090896	Historical	180	2.000	5	1	
CO-VAU	L1193327	1.2677789	-70.1946759	2015-04-14	06:00:00	obsr245077	S38334573	Traveling	480	1.609	5	1	G2556031
CO-VAU	L1193327	1.2677789	-70.1946759	2015-04-14	06:00:00	obsr119620	S25163655	Traveling	480	1.609	5	1	G2556031
CO-VAU	L1193327	1.2677789	-70.1946759	2015-03-22	14:00:00	obsr128626	S23367016	Traveling	240	6.437	5	1	
CO-VAU	L1193327	1.2677789	-70.1946759	2015-03-01	05:57:00	obsr232412	S22171624	Traveling	689	14.000	4	1	G1166473
CO-VAU	L1193327	1.2677789	-70.1946759	2015-03-01	05:57:00	obsr108813	S22171073	Traveling	689	14.000	4	1	G1166473
CO-VAU	L1193327	1.2677789	-70.1946759	2015-03-01	05:57:00	obsr307381	S22171072	Traveling	689	14.000	4	1	G1166473
CO-VAU	L1193326	1.2228872	-70.2310359	2015-01-15	06:00:00	obsr203202	S21752244	Traveling	300	8.000	4	1	G1141704
CO-VAU	L1193327	1.2677789	-70.1946759	2015-01-12	06:00:00	obsr232095	S21670315	Traveling	600	16.000	4	1	G1141699
CO-VAU	L1193327	1.2677789	-70.1946759	2015-01-11	15:30:00	obsr406578	S21779867	Traveling	120	2.000	4	1	G1141696
CO-VAU	L1193327	1.2677789	-70.1946759	2015-11-04		obsr351810	S61079714	Historical				0	
CO-VAU	L1193327	1.2677789	-70.1946759	2015-11-06		obsr351810	S61079799	Historical				1	
CO-VAU	L1193327	1.2677789	-70.1946759	2015-10-26	15:15:00	obsr347082	S25780465	Traveling	135	3.219	7	1	
CO-VAU	L1193327	1.2677789	-70.1946759	2015-11-06		obsr92695	S36708654	Historical			4	1	
CO-VAU	L1193327	1.2677789	-70.1946759	2015-11-03		obsr351810	S61079560	Historical				1	
CO-VAU	L1193327	1.2677789	-70.1946759	2015-11-03	14:00:00	obsr92695	S36696572	Traveling	210	4.000	4	1	
CO-VAU	L1193327	1.2677789	-70.1946759	2015-11-08		obsr351810	S61079927	Historical				1	
CO-VAU	L1193327	1.2677789	-70.1946759	2015-01-21	14:27:00	obsr162387	S22739091	Incidental			1	1	
CO-VAU	L1193327	1.2677789	-70.1946759	2015-01-18	15:00:00	obsr162387	S22739095	Incidental			1	1	
CO-VAU	L1193327	1.2677789	-70.1946759	2015-01-22	14:00:00	obsr162387	S22739089	Incidental			1	1	
CO-VAU	L11969918	1.1481504	-70.0387014	2015-11-12	06:00:00	obsr541322	S67963213	Traveling	480	5.000	7	1	
CO-VAU	L11970492	1.2932659	-70.2302191	2015-11-14	06:00:00	obsr541322	S67963215	Traveling	240	3.000	7	1	
CO-VAU	L1405843	1.1303000	-70.1407000	2015-10-16	13:20:00	obsr406192	S25499753	Traveling	190	8.000	3	1	
CO-VAU	L1405843	1.1303000	-70.1407000	2015-07-07	05:30:00	obsr433512	S45089662	Historical	720	4.000	5	1	
CO-VAU	L1450896	1.2205831	-70.2384067	2015-01-05	08:00:00	obsr161911	S51693004	Traveling	420	10.000	5	0	G3763410
CO-VAU	L1450896	1.2205831	-70.2384067	2015-01-08	09:00:00	obsr161911	S51693427	Traveling	180	6.000	3	0	G3763414
CO-VAU	L1450896	1.2205831	-70.2384067	2015-10-28	05:45:00	obsr347082	S25783442	Traveling	375	9.656	9	1	
CO-VAU	L1450896	1.2205831	-70.2384067	2015-01-25	05:45:00	obsr110092	S34014273	Traveling	205	2.414	10	1	
CO-VAU	L1450896	1.2205831	-70.2384067	2015-12-13	07:00:00	obsr817735	S127657755	Traveling	210	6.000	3	1	
CO-VAU	L1450896	1.2205831	-70.2384067	2015-01-21	06:15:00	obsr142759	S23161151	Traveling	330	2.897	9	1	
CO-VAU	L1450896	1.2205831	-70.2384067	2015-01-24	06:00:00	obsr162387	S22739087	Incidental			1	1	
CO-VAU	L1450896	1.2205831	-70.2384067	2015-10-19	05:15:00	obsr406192	S25499845	Traveling	90	5.000	2	1	
CO-VAU	L1450896	1.2205831	-70.2384067	2015-04-21	05:25:00	obsr507040	S23031998	Traveling	696	9.000	4	1	
CO-VAU	L1450896	1.2205831	-70.2384067	2015-02-27	06:15:00	obsr121486	S22166528	Traveling	679	15.000	5	1	G1166470
CO-VAU	L1450896	1.2205831	-70.2384067	2015-03-03	06:24:00	obsr232412	S22171632	Traveling	246	6.000	5	1	G1166481
CO-VAU	L1450896	1.2205831	-70.2384067	2015-01-25	05:45:00	obsr142759	S23177499	Traveling	205	2.414	10	1	
CO-VAU	L1450896	1.2205831	-70.2384067	2015-04-16	14:30:00	obsr119620	S25169267	Traveling	240	1.609	5	1	G2556041
CO-VAU	L1450896	1.2205831	-70.2384067	2015-04-16	14:30:00	obsr245077	S38334643	Traveling	240	1.609	5	1	G2556041
CO-VAU	L1450896	1.2205831	-70.2384067	2015-01-21	06:15:00	obsr110092	S33993855	Traveling	330	2.897	10	1	
CO-VAU	L1450896	1.2205831	-70.2384067	2015-01-05	08:00:00	obsr162605	S51694116	Traveling	420	10.000	5	0	G3763410
CO-VAU	L1450896	1.2205831	-70.2384067	2015-11-11		obsr293417	S94454511	Historical			10	1	
