STATE CODE	LOCALITY ID	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	DURATION MINUTES	EFFORT DISTANCE KM	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER
CO-VAU	L1450896	1.2205831	-70.2384067	2014-11-21		obsr162387	S21358432	Incidental			1	1	
CO-VAU	L1450896	1.2205831	-70.2384067	2014-11-05	07:00:00	obsr971049	S98291159	Traveling	480	8.047	3	1	G7515893
CO-VAU	L1450896	1.2205831	-70.2384067	2014-08-15	06:00:00	obsr101311	S20006813	Traveling	600	3.219	5	1	G1893741
CO-VAU	L1450896	1.2205831	-70.2384067	2014-09-29	05:30:00	obsr1334452	S67979502	Historical				1	
CO-VAU	L1450896	1.2205831	-70.2384067	2014-08-15	06:00:00	obsr162605	S31204370	Traveling	600	3.219	5	1	G1893741
CO-VAU	L1450896	1.2205831	-70.2384067	2014-11-05	07:00:00	obsr1461705	S98738086	Traveling	480	8.047	3	1	G7515893
CO-VAU	L1450896	1.2205831	-70.2384067	2014-03-21		obsr162387	S18250331	Incidental			1	1	
CO-VAU	L1450896	1.2205831	-70.2384067	2014-08-15	06:00:00	obsr915176	S36558796	Traveling	600	3.219	5	1	G1893741
CO-VAU	L1450896	1.2205831	-70.2384067	2014-10-19		obsr162605	S31130484	Historical			9	1	G1887328
CO-VAU	L1450948	1.1190923	-70.0826454	2014-08-17	05:45:00	obsr101311	S20013882	Traveling	660	4.828	5	1	G1893745
CO-VAU	L1450948	1.1190923	-70.0826454	2014-11-08	06:00:00	obsr971049	S98294807	Traveling	540	8.047	3	1	G7515878
CO-VAU	L1450948	1.1190923	-70.0826454	2014-07-19	06:00:00	obsr693372	S27529984	Traveling	690	18.000	5	1	
CO-VAU	L1450896	1.2205831	-70.2384067	2014-10-19		obsr532139	S30803208	Historical			9	1	G1887328
CO-VAU	L1450896	1.2205831	-70.2384067	2014-02-03	05:50:00	obsr142759	S17496428	Traveling	400	2.736	12	1	
CO-VAU	L1450896	1.2205831	-70.2384067	2014-03-18		obsr162387	S18250282	Incidental			1	1	
CO-VAU	L1450896	1.2205831	-70.2384067	2014-03-19		obsr162387	S18250362	Incidental			1	1	
CO-VAU	L1450896	1.2205831	-70.2384067	2014-03-25	06:00:00	obsr162387	S18250359	Incidental			1	1	
CO-VAU	L1450948	1.1190923	-70.0826454	2014-10-18		obsr915176	S36558791	Historical			9	1	G1887329
CO-VAU	L1450948	1.1190923	-70.0826454	2014-11-17	05:54:00	obsr162387	S21358437	Incidental			1	1	
CO-VAU	L1450948	1.1190923	-70.0826454	2014-11-26	06:00:00	obsr215180	S20869583	Traveling	540	8.000	10	1	
CO-VAU	L1450948	1.1190923	-70.0826454	2014-11-18	06:20:00	obsr162387	S21358436	Incidental			1	1	
CO-VAU	L1450896	1.2205831	-70.2384067	2014-08-15	06:00:00	obsr107352	S40901843	Traveling	600	3.219	5	1	G1893741
CO-VAU	L1450896	1.2205831	-70.2384067	2014-11-22	05:45:00	obsr162387	S21358313	Incidental			1	1	
CO-VAU	L1450896	1.2205831	-70.2384067	2014-07-22	06:00:00	obsr693372	S27542984	Traveling	180	3.000	4	1	
CO-VAU	L1450896	1.2205831	-70.2384067	2014-11-24	07:00:00	obsr738493	S37935512	Traveling	300	8.047	12	1	
CO-VAU	L1450896	1.2205831	-70.2384067	2014-01-21	05:15:00	obsr431114	S60404849	Traveling	540	9.656	1	1	
CO-VAU	L1450896	1.2205831	-70.2384067	2014-01-15	05:15:00	obsr431114	S60404519	Traveling	600	9.656	1	1	
CO-VAU	L1450896	1.2205831	-70.2384067	2014-03-17		obsr162387	S18250253	Incidental			1	1	
CO-VAU	L1450948	1.1190923	-70.0826454	2014-08-17	05:45:00	obsr162605	S31204378	Traveling	660	4.828	5	1	G1893745
CO-VAU	L1450948	1.1190923	-70.0826454	2014-10-18		obsr532139	S30803370	Historical			9	1	G1887329
CO-VAU	L1450948	1.1190923	-70.0826454	2014-10-18		obsr162605	S31130485	Historical			9	1	G1887329
CO-VAU	L1450948	1.1190923	-70.0826454	2014-01-24	05:35:00	obsr431114	S60354472	Traveling	480	11.265	1	1	
CO-VAU	L1450896	1.2205831	-70.2384067	2014-10-19		obsr915176	S36558788	Historical			9	1	G1887328
CO-VAU	L1450896	1.2205831	-70.2384067	2014-04-23	05:50:00	obsr1704441	S71812732	Traveling	690	12.000	4	1	
CO-VAU	L1450896	1.2205831	-70.2384067	2014-01-06	05:40:00	obsr142759	S17516871	Traveling	200	3.541	12	1	
CO-VAU	L1450896	1.2205831	-70.2384067	2014-11-24	06:13:00	obsr215180	S20864302	Traveling	500	5.000	10	1	
CO-VAU	L1450948	1.1190923	-70.0826454	2014-08-17	05:45:00	obsr915176	S36558759	Traveling	660	4.828	5	1	G1893745
CO-VAU	L1450948	1.1190923	-70.0826454	2014-08-17	05:45:00	obsr107352	S40901838	Traveling	660	4.828	5	1	G1893745
CO-VAU	L1450948	1.1190923	-70.0826454	2014-03-24	06:54:00	obsr162387	S18250330	Incidental			1	1	
CO-VAU	L1450948	1.1190923	-70.0826454	2014-11-08	06:00:00	obsr1461705	S101164189	Traveling	540	8.047	3	1	G7515878
CO-VAU	L1451759	1.2221020	-70.1615238	2014-08-19	05:30:00	obsr915176	S36558768	Traveling	615	4.828	5	1	G1893747
CO-VAU	L1451759	1.2221020	-70.1615238	2014-10-22		obsr532139	S30803209	Historical			8	1	G1887323
CO-VAU	L1451759	1.2221020	-70.1615238	2014-10-22		obsr162605	S31130475	Historical			8	1	G1887323
