LAST EDITED DATE	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	TRIP COMMENTS	
2023-03-11 10:43:28.102468	Colombia	CO	Vaupés	CO-VAU							Carretera Mitú a Urania	L4817239	H	1.2708337	-70.2155730	2023-02-26	15:45:00	obsr346210	S130654579	Traveling	P22	EBIRD	135	1.500		4	1	G9800819		
2024-05-04 01:00:05.873245	Colombia	CO	Vaupés	CO-VAU							Carretera Mitú a Urania	L4817239	H	1.2708337	-70.2155730	2023-09-19	15:12:00	obsr894261	S150299109	Traveling	P22	EBIRD	99	1.273		2	1	G10865024		
2023-04-28 11:25:12.995278	Colombia	CO	Vaupés	CO-VAU							Carretera Mitú a Urania	L4817239	H	1.2708337	-70.2155730	2023-04-15	16:34:00	obsr306774	S133905881	Traveling	P22	EBIRD	173	2.414		1	1			
2023-12-19 16:37:28.094313	Colombia	CO	Vaupés	CO-VAU							Carretera Mitú a Urania	L4817239	H	1.2708337	-70.2155730	2023-09-24	05:42:00	obsr894261	S150653226	Traveling	P22	EBIRD	206	3.817		2	1	G10885740		
2023-12-19 19:04:55.567448	Colombia	CO	Vaupés	CO-VAU							Carretera Mitú a Urania	L4817239	H	1.2708337	-70.2155730	2023-12-19	12:40:00	obsr1415421	S156712452	Traveling	P22	EBIRD	239	2.060		3	1	G11337965		
2023-12-19 19:58:18.339915	Colombia	CO	Vaupés	CO-VAU							Carretera Mitú a Urania	L4817239	H	1.2708337	-70.2155730	2023-12-19	12:40:00	obsr685025	S156713195	Traveling	P22	EBIRD	239	2.060		3	1	G11337965		
2023-08-14 17:58:00.852109	Colombia	CO	Vaupés	CO-VAU							Carretera Mitú a Urania	L4817239	H	1.2708337	-70.2155730	2023-05-26	05:45:00	obsr669221	S139329136	Traveling	P22	EBIRD	65	0.430		2	1	G10319156	Puente	
2023-08-14 17:58:00.852109	Colombia	CO	Vaupés	CO-VAU							Carretera Mitú a Urania	L4817239	H	1.2708337	-70.2155730	2023-05-26	05:45:00	obsr540781	S139329137	Traveling	P22	EBIRD	65	0.430		2	1	G10319156	Puente	
2023-12-07 20:57:31.217207	Colombia	CO	Vaupés	CO-VAU							Carretera Mitú a Urania	L4817239	H	1.2708337	-70.2155730	2023-12-02	16:07:00	obsr4588382	S155924193	Traveling	P22	EBIRD	80	0.870		3	1	G11239449		
2023-11-14 09:48:10.493256	Colombia	CO	Vaupés	CO-VAU							Carretera Mitú a Urania	L4817239	H	1.2708337	-70.2155730	2023-11-12	16:03:00	obsr498760	S154337779	Traveling	P22	EBIRD	68	0.788		3	1			
2023-10-24 10:29:57.086742	Colombia	CO	Vaupés	CO-VAU							Carretera Mitú a Urania	L4817239	H	1.2708337	-70.2155730	2023-08-12	05:20:00	obsr2774010	S147372069	Traveling	P22	EBIRD	360	8.000		5	1			
